post_created,post_text,user_id,mh_category,mh_confidence,mh_matched_keywords,subject_category,subject_confidence,subject_details,sentiment,date,year,month,day,hour,weekday,cleaned_text,tokens,processed_text,sentiment_category,sentiment_label,sentiment_score
2021-09-08 12:28:57+00:00,"#ponorogo #imigrasiponorogo #jatimpastihebat #kumhampasti
#rbkunwas #trenggalek #pacitan #infoponorogo #paspor #ppkm #stayhome #instagood",ImigrasiPO,depression,medium,hampa,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-09-08,2021,9,8,12,2,ponorogo imigrasiponorogo jatimpastihebat kumhampasti rbkunwas trenggalek pacitan infoponorogo paspor ppkm stayhome instagood,"['ponorogo', 'imigrasiponorogo', 'jatimpastihebat', 'kumhampasti', 'rbkunwas', 'trenggalek', 'pacitan', 'infoponorogo', 'paspor', 'ppkm', 'stayhome', 'instagood']",ponorogo imigrasiponorogo jatimpastihebat kumhampasti rbkunwas trenggalek pacitan infoponorogo paspor ppkm stayhome instagood,Positif,positive,1.0
2022-03-22 04:06:09+00:00,"Siapa yang punya usaha kuliner tapi belum punya foto bagus? Nih ada jasa foto produk kuliner gratis. Simak di sini ya. 

#gratis #PPKM #difotoinbch 

https://t.co/p8nyHRCKyG",detik_jabar,therapy,medium,,REMAJA,MEDIUM,Indicators: pr,1,2022-03-22,2022,3,22,4,1,siapa yang punya usaha kuliner tapi belum punya foto bagus nih ada jasa foto produk kuliner gratis simak di sini ya gratis ppkm difotoinbch,"['siapa', 'yang', 'punya', 'usaha', 'kuliner', 'tapi', 'belum', 'punya', 'foto', 'bagus', 'nih', 'ada', 'jasa', 'foto', 'produk', 'kuliner', 'gratis', 'simak', 'sini', 'gratis', 'ppkm', 'difotoinbch']",siapa yang punya usaha kuliner tapi belum punya foto bagus nih ada jasa foto produk kuliner gratis simak sini gratis ppkm difotoinbch,Positif,positive,1.0
2021-07-22 08:57:58+00:00,"Obat Kuat Sidoarjo WA-0812-8351-0646 Foredi Gel Toko Agen Apotik Stokis COD #ObatKuatSidoarjo
#PenjualObatKuatSidoarjo #ObatKuatJatim #PPKM 
#ForediSidoarjo   https://t.co/qh7XF3owcQ",eyangfresh,therapy,medium,,DEWASA,MEDIUM,Indicators: toko,1,2021-07-22,2021,7,22,8,3,obat kuat sidoarjo wa foredi gel toko agen apotik stokis cod obatkuatsidoarjo penjualobatkuatsidoarjo obatkuatjatim ppkm foredisidoarjo,"['obat', 'kuat', 'sidoarjo', 'foredi', 'gel', 'toko', 'agen', 'apotik', 'stokis', 'cod', 'obatkuatsidoarjo', 'penjualobatkuatsidoarjo', 'obatkuatjatim', 'ppkm', 'foredisidoarjo']",obat kuat sidoarjo foredi gel toko agen apotik stokis cod obatkuatsidoarjo penjualobatkuatsidoarjo obatkuatjatim ppkm foredisidoarjo,Positif,positive,1.0
2021-07-16 16:02:31+00:00,perlahan ladang gandum jd ladang coco crunch #PPKM,witjaksonoky,bipolar,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-07-16,2021,7,16,16,4,perlahan ladang gandum jd ladang coco crunch ppkm,"['perlahan', 'ladang', 'gandum', 'ladang', 'coco', 'crunch', 'ppkm']",perlahan ladang gandum ladang coco crunch ppkm,Positif,positive,1.0
2021-09-13 12:36:59+00:00,"#PPKM
@PerekonomianRI 
@KemenkesRI 
@BNPB_Indonesia 
@DivHumas_Polri 
@Puspen_TNI",kemenkomarves,depression,medium,,DEWASA,MEDIUM,Indicators: ekonomi,1,2021-09-13,2021,9,13,12,0,ppkm,['ppkm'],ppkm,Positif,positive,1.0
2021-04-22 07:27:04+00:00,"Aturan Ganjil Genap Belum Diberlakukan, Jakarta Kembali Macet #gage #macet #ppkm https://t.co/7IdTjYdbej",KabarSiang,therapy,medium,,DEWASA,MEDIUM,Indicators: aturan,2,2021-04-22,2021,4,22,7,3,aturan ganjil genap belum diberlakukan jakarta kembali macet gage macet ppkm,"['aturan', 'ganjil', 'genap', 'belum', 'diberlakukan', 'jakarta', 'kembali', 'macet', 'gage', 'macet', 'ppkm']",aturan ganjil genap belum diberlakukan jakarta kembali macet gage macet ppkm,Negatif,negative,1.0
2021-07-14 03:50:15+00:00,"hal apa yang kalian lakuin buat ngusir kebosanan waktu #ppkm ? 

aku kok ya keseringan rebahan sampe punggung panas",Dwiardell,stress,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",2,2021-07-14,2021,7,14,3,2,hal apa yang kalian lakuin buat ngusir kebosanan waktu ppkm aku kok ya keseringan rebahan sampe punggung panas,"['hal', 'apa', 'yang', 'kalian', 'lakuin', 'buat', 'ngusir', 'kebosanan', 'waktu', 'ppkm', 'aku', 'kok', 'keseringan', 'rebahan', 'sampe', 'punggung', 'panas']",hal apa yang kalian lakuin buat ngusir kebosanan waktu ppkm aku kok keseringan rebahan sampe punggung panas,Negatif,negative,1.0
2021-08-08 18:52:55+00:00,"Relaksasi selama ppkm 
#ppkm #dirumahaja https://t.co/bnG3MXk8n4",lazirahminimart,schizophrenia,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-08-08,2021,8,8,18,6,relaksasi selama ppkm ppkm dirumahaja,"['relaksasi', 'selama', 'ppkm', 'ppkm', 'dirumahaja']",relaksasi selama ppkm ppkm dirumahaja,Positif,positive,1.0
2021-12-21 14:19:07+00:00,Ketahui informasi pembagian #PPKM di wilayah Jabar berdasarkan level 2 dan 1 di #PikoData https://t.co/B2RzT4cjrw,pikobar_jabar,suicide,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-12-21,2021,12,21,14,1,ketahui informasi pembagian ppkm di wilayah jabar berdasarkan level dan di pikodata,"['ketahui', 'informasi', 'pembagian', 'ppkm', 'wilayah', 'jabar', 'berdasarkan', 'level', 'dan', 'pikodata']",ketahui informasi pembagian ppkm wilayah jabar berdasarkan level dan pikodata,Positif,positive,1.0
2021-07-15 08:20:52+00:00,"Pas Pergi Keluar Macet 
#PPKM https://t.co/LfV9cmYM50",mawisevendry,therapy,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",2,2021-07-15,2021,7,15,8,3,pas pergi keluar macet ppkm,"['pas', 'pergi', 'keluar', 'macet', 'ppkm']",pas pergi keluar macet ppkm,Negatif,negative,1.0
2021-07-14 10:43:53+00:00,Sekat sana-sini. Gerbang Internasional lancar jaya #PPKM,khaerul64_,depression,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",0,2021-07-14,2021,7,14,10,2,sekat sanasini gerbang internasional lancar jaya ppkm,"['sekat', 'sanasini', 'gerbang', 'internasional', 'lancar', 'jaya', 'ppkm']",sekat sanasini gerbang internasional lancar jaya ppkm,Netral,neutral,1.0
2021-12-02 09:26:07+00:00,"#IndonesiaSehatIndonesiaHebat
#BersatuLawanCovid19
#NegeriPulihDenganVaksin
#PPKM https://t.co/viz5Ggfz1N",Dita17034357,suicide,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-12-02,2021,12,2,9,3,indonesiasehatindonesiahebat bersatulawancovid negeripulihdenganvaksin ppkm,"['indonesiasehatindonesiahebat', 'bersatulawancovid', 'negeripulihdenganvaksin', 'ppkm']",indonesiasehatindonesiahebat bersatulawancovid negeripulihdenganvaksin ppkm,Positif,positive,1.0
2021-10-14 05:03:25+00:00,"PENYEKATAN JALUR 3 PILAR KOTA PASURUAN

Penyekatan Jalur di wilayah hukum Polres Pasuruan Kota bertujuan untuk mencegah penyebaran Covid-19 dan mengurangi mobilitas masyarakat.

#polripresisi #presisi #jawatimurbangkit #jogopaskot #lawancovid19 #protokolkesehatan #ppkm https://t.co/ilkOGdJUq1",respaskot11,therapy,medium,,DEWASA,MEDIUM,"Indicators: toko,masyarakat",1,2021-10-14,2021,10,14,5,3,penyekatan jalur pilar kota pasuruan penyekatan jalur di wilayah hukum polres pasuruan kota bertujuan untuk mencegah penyebaran covid dan mengurangi mobilitas masyarakat polripresisi presisi jawatimurbangkit jogopaskot lawancovid protokolkesehatan ppkm,"['penyekatan', 'jalur', 'pilar', 'kota', 'pasuruan', 'penyekatan', 'jalur', 'wilayah', 'hukum', 'polres', 'pasuruan', 'kota', 'bertujuan', 'untuk', 'mencegah', 'penyebaran', 'covid', 'dan', 'mengurangi', 'mobilitas', 'masyarakat', 'polripresisi', 'presisi', 'jawatimurbangkit', 'jogopaskot', 'lawancovid', 'protokolkesehatan', 'ppkm']",penyekatan jalur pilar kota pasuruan penyekatan jalur wilayah hukum polres pasuruan kota bertujuan untuk mencegah penyebaran covid dan mengurangi mobilitas masyarakat polripresisi presisi jawatimurbangkit jogopaskot lawancovid protokolkesehatan ppkm,Positif,positive,1.0
2021-11-20 05:37:53+00:00,"#اندونيسيا 🇮🇩
* الرئيس الإندونيسي /جوكو ويدودو :
 ألف مبروك للجنرال /أنديكا بيركاسا .
كقائد للجيش الوطني الإندونيسي.

#جاكرتا #جوكوي #بونشاك #بالي #السعودية #جدة #الرياض #سياحة #سينوفاك #فايزر #الصحة #كوفيد_19 #موسم_الرياض
#Indonesia #Jakarta #jokowi #Vaksin #ppkm #TNI #bali 🇮🇩 https://t.co/4PtqCq6iDf",hamedo8877,suicide,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-11-20,2021,11,20,5,5,indonesia jakarta jokowi vaksin ppkm tni bali,"['indonesia', 'jakarta', 'jokowi', 'vaksin', 'ppkm', 'tni', 'bali']",indonesia jakarta jokowi vaksin ppkm tni bali,Positif,positive,1.0
2021-10-25 06:38:08+00:00,https://t.co/lFLvnuJHiD cc @setkabgoid @KSPgoid @KemensetnegRI @PPATK #pemulihan #PPKM #UMKM  #OleOut #Kep1erOT9 #WeLoveYouBahiyyih  #KoemanOut  Sir Alex #BTSPermissionToDanceOnStage Ronaldo  #OleStay,imanmr5,stress,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-10-25,2021,10,25,6,0,cc pemulihan ppkm umkm oleout keperot weloveyoubahiyyih koemanout sir alex btspermissiontodanceonstage ronaldo olestay,"['pemulihan', 'ppkm', 'umkm', 'oleout', 'keperot', 'weloveyoubahiyyih', 'koemanout', 'sir', 'alex', 'btspermissiontodanceonstage', 'ronaldo', 'olestay']",pemulihan ppkm umkm oleout keperot weloveyoubahiyyih koemanout sir alex btspermissiontodanceonstage ronaldo olestay,Positif,positive,1.0
2021-07-15 03:03:53+00:00,"Kita sama-sama manusia
lekas pulih semuanya
#quoteoftheday #quotestagram #quotesaboutlife #corona #ppkm #virus #pandemic #lifequotes #life #human #god #pray #socialdistancing #social #reelitfeelit #instadaily #home https://t.co/GBSyTA8heo",chikinmuhammad_,suicide,medium,,REMAJA,MEDIUM,Indicators: pr,2,2021-07-15,2021,7,15,3,3,kita samasama manusia lekas pulih semuanya quoteoftheday quotestagram quotesaboutlife corona ppkm virus pandemic lifequotes life human god pray socialdistancing social reelitfeelit instadaily home,"['kita', 'samasama', 'manusia', 'lekas', 'pulih', 'semuanya', 'quoteoftheday', 'quotestagram', 'quotesaboutlife', 'corona', 'ppkm', 'virus', 'pandemic', 'lifequotes', 'life', 'human', 'god', 'pray', 'socialdistancing', 'social', 'reelitfeelit', 'instadaily', 'home']",kita samasama manusia lekas pulih semuanya quoteoftheday quotestagram quotesaboutlife corona ppkm virus pandemic lifequotes life human god pray socialdistancing social reelitfeelit instadaily home,Negatif,negative,1.0
2021-09-09 03:22:23+00:00,"PENYEKATAN JALUR 3 PILAR KOTA PASURUAN

Penyekatan Jalur di wilayah hukum Polres Pasuruan Kota bertujuan untuk mencegah penyebaran Covid-19 dan mengurangi mobilitas masyarakat.

#polripresisi #presisi #jawatimurbangkit #jogopaskot #lawancovid19 #protokolkesehatan #ppkm https://t.co/rU7ODlPmJM",respaskot11,therapy,medium,,DEWASA,MEDIUM,"Indicators: toko,masyarakat",1,2021-09-09,2021,9,9,3,3,penyekatan jalur pilar kota pasuruan penyekatan jalur di wilayah hukum polres pasuruan kota bertujuan untuk mencegah penyebaran covid dan mengurangi mobilitas masyarakat polripresisi presisi jawatimurbangkit jogopaskot lawancovid protokolkesehatan ppkm,"['penyekatan', 'jalur', 'pilar', 'kota', 'pasuruan', 'penyekatan', 'jalur', 'wilayah', 'hukum', 'polres', 'pasuruan', 'kota', 'bertujuan', 'untuk', 'mencegah', 'penyebaran', 'covid', 'dan', 'mengurangi', 'mobilitas', 'masyarakat', 'polripresisi', 'presisi', 'jawatimurbangkit', 'jogopaskot', 'lawancovid', 'protokolkesehatan', 'ppkm']",penyekatan jalur pilar kota pasuruan penyekatan jalur wilayah hukum polres pasuruan kota bertujuan untuk mencegah penyebaran covid dan mengurangi mobilitas masyarakat polripresisi presisi jawatimurbangkit jogopaskot lawancovid protokolkesehatan ppkm,Positif,positive,1.0
2021-08-15 04:49:17+00:00,"Hobi Bener !!!
Kagak Ada kerjaan Kali yee !!!
#FreeIB_HRS 
#BPIP 
#Jokowi404NotFound 
#PPKM https://t.co/A7v5DkbYdg",politik_rakyat3,suicide,medium,,DEWASA,MEDIUM,Indicators: kerjaan,2,2021-08-15,2021,8,15,4,6,hobi bener kagak ada kerjaan kali yee freeibhrs bpip jokowinotfound ppkm,"['hobi', 'bener', 'kagak', 'ada', 'kerjaan', 'kali', 'yee', 'freeibhrs', 'bpip', 'jokowinotfound', 'ppkm']",hobi bener kagak ada kerjaan kali yee freeibhrs bpip jokowinotfound ppkm,Negatif,negative,1.0
2021-07-25 15:27:38+00:00,"maaf klo anda sedih PPKM g bisa dolan, aku maju mancal raimu, wong tuo ku sedih mikir usaha, koe sedih mergo gaiso dolan, halahh.

#PPKM #PPKMLevel4",rbio_riris,depression,medium,sedih,INDIVIDU_UMUM,LOW,"T:0, A:0",2,2021-07-25,2021,7,25,15,6,maaf klo anda sedih ppkm g bisa dolan aku maju mancal raimu wong tuo ku sedih mikir usaha koe sedih mergo gaiso dolan halahh ppkm ppkmlevel,"['maaf', 'klo', 'anda', 'sedih', 'ppkm', 'bisa', 'dolan', 'aku', 'maju', 'mancal', 'raimu', 'wong', 'tuo', 'sedih', 'mikir', 'usaha', 'koe', 'sedih', 'mergo', 'gaiso', 'dolan', 'halahh', 'ppkm', 'ppkmlevel']",maaf klo anda sedih ppkm bisa dolan aku maju mancal raimu wong tuo sedih mikir usaha koe sedih mergo gaiso dolan halahh ppkm ppkmlevel,Negatif,negative,1.0
2021-08-16 01:33:58+00:00,"Beras yang rindang 

#ppkm https://t.co/SzpYvXEnqe",Mrifqiariq1,therapy,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-08-16,2021,8,16,1,0,beras yang rindang ppkm,"['beras', 'yang', 'rindang', 'ppkm']",beras yang rindang ppkm,Positif,positive,1.0
2021-07-03 10:22:23+00:00,#PPKMDarurat #PPKMDaruratCegahCovid #PPKM #PPKMDaruratJawaBali #BeritaTerkini #berita #Viral #PPKMDaruratItuSolusi #PPKMdaruratDemiRakyat #PPKMDaruratDIY #PPKMDaruratLindungiKita #PPKMDaruratJakarta #Viral #NEWS #BeritaTerkini #berita https://t.co/xFJBmXW6y6,tribunpontianak,suicide,medium,,DEWASA,MEDIUM,Indicators: rakyat,1,2021-07-03,2021,7,3,10,5,ppkmdarurat ppkmdaruratcegahcovid ppkm ppkmdaruratjawabali beritaterkini berita viral ppkmdaruratitusolusi ppkmdaruratdemirakyat ppkmdaruratdiy ppkmdaruratlindungikita ppkmdaruratjakarta viral news beritaterkini berita,"['ppkmdarurat', 'ppkmdaruratcegahcovid', 'ppkm', 'ppkmdaruratjawabali', 'beritaterkini', 'berita', 'viral', 'ppkmdaruratitusolusi', 'ppkmdaruratdemirakyat', 'ppkmdaruratdiy', 'ppkmdaruratlindungikita', 'ppkmdaruratjakarta', 'viral', 'news', 'beritaterkini', 'berita']",ppkmdarurat ppkmdaruratcegahcovid ppkm ppkmdaruratjawabali beritaterkini berita viral ppkmdaruratitusolusi ppkmdaruratdemirakyat ppkmdaruratdiy ppkmdaruratlindungikita ppkmdaruratjakarta viral news beritaterkini berita,Positif,positive,1.0
2021-07-29 05:41:55+00:00,"Bedah Tema Healthy Kids Part 2🎉

Pas banget lagi ada promo spesial selama ppkm nih, simak selengkapnya👇

----
Paket Paling Keren Mandira (PPKM)
💳 Rp857.500
✨ Diskon 30% + gratis 2 buku karya Andrea Hirata
📅 19-31 Juli 2021
📍 Eksklusif di: https://t.co/71AFLsorAc

#PPKM https://t.co/99B9O55Ire",bentangpustaka,therapy,medium,,REMAJA,MEDIUM,Indicators: pr,0,2021-07-29,2021,7,29,5,3,bedah tema healthy kids part pas banget lagi ada promo spesial selama ppkm nih simak selengkapnya paket paling keren mandira ppkm rp diskon gratis buku karya andrea hirata juli eksklusif di ppkm,"['bedah', 'tema', 'healthy', 'kids', 'part', 'pas', 'banget', 'lagi', 'ada', 'promo', 'spesial', 'selama', 'ppkm', 'nih', 'simak', 'selengkapnya', 'paket', 'paling', 'keren', 'mandira', 'ppkm', 'diskon', 'gratis', 'buku', 'karya', 'andrea', 'hirata', 'juli', 'eksklusif', 'ppkm']",bedah tema healthy kids part pas banget lagi ada promo spesial selama ppkm nih simak selengkapnya paket paling keren mandira ppkm diskon gratis buku karya andrea hirata juli eksklusif ppkm,Netral,neutral,1.0
2021-06-19 01:09:31+00:00,"Kemarin sore Gubernur DKI Jakarta Anies Baswedan beserta jajaran Forum Komunikasi Pimpinan Daerah (Forkopimda) melakukan apel gabungan pengawasan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Mikro.
https://t.co/eIhh57msLK
#JagaJakarta #pandemibelumusai #jakartabangkit #PPKM https://t.co/9tTpQmx4eF",DKIJakarta,therapy,medium,,DEWASA,MEDIUM,"Indicators: atasan,masyarakat",1,2021-06-19,2021,6,19,1,5,kemarin sore gubernur dki jakarta anies baswedan beserta jajaran forum komunikasi pimpinan daerah forkopimda melakukan apel gabungan pengawasan pemberlakuan pembatasan kegiatan masyarakat ppkm mikro jagajakarta pandemibelumusai jakartabangkit ppkm,"['kemarin', 'sore', 'gubernur', 'dki', 'jakarta', 'anies', 'baswedan', 'beserta', 'jajaran', 'forum', 'komunikasi', 'pimpinan', 'daerah', 'forkopimda', 'melakukan', 'apel', 'gabungan', 'pengawasan', 'pemberlakuan', 'pembatasan', 'kegiatan', 'masyarakat', 'ppkm', 'mikro', 'jagajakarta', 'pandemibelumusai', 'jakartabangkit', 'ppkm']",kemarin sore gubernur dki jakarta anies baswedan beserta jajaran forum komunikasi pimpinan daerah forkopimda melakukan apel gabungan pengawasan pemberlakuan pembatasan kegiatan masyarakat ppkm mikro jagajakarta pandemibelumusai jakartabangkit ppkm,Positif,positive,1.0
